------ Experiment.reset ------
%%%%%%%%%%%% bellman %%%%%%%%%%%%
count hardware (bellman):  55
count embeddings (bellman):  109
total diff. algorithms (bellman):  35
accuracy perfect hardware (bellman): 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0

min. accuracy (bellman): 0.50195
avg. accuracy (bellman): 0.94003
max. accuracy (bellman): 1.0

min. pomdp build time (bellman): 0.00045
avg. pomdp build time (bellman): 0.00274
max. pomdp build time (bellman): 0.99509

min. method time (bellman): 0.0
avg. method time (bellman): 15.06199
max. method time (bellman): 100.0

min. total time (bellman): 0.00045
avg. total time (bellman): 15.06359
max. total time (bellman): 100.00518

min. total time (bellman): 0.00045
avg. total time (bellman): 15.06359
max. total time (bellman): 100.00518

num. algorithms per horizon (method=bellman)
2 :  3
3 :  4
4 :  3
5 :  4
6 :  4
7 :  4
8 :  7
9 :  6
--


number of improvements per horizon:
--> horizon 2: 3 
--> horizon 3: 3 
--> horizon 4: 108 
--> horizon 5: 108 
--> horizon 6: 108 
--> horizon 7: 108 
--> horizon 8: 108 
--> horizon 9: 108 
--- ALGORITHMS ---
perfect hardware algorithm:  [(2, 16), (3, 17), (4, 18), (5, 19), (6, 20), (7, 21), (8, 143), (9, 144)]
-> Algorithm: 4
--> Max: (0.13868999999999998, ('brisbane', 0))
--> Avg: 0.04198862385321101
--> Std: 0.04278382925020746

Horizon = 7
-> Algorithm: 12
--> Max: (0.18363999999999997, ('torino', 1))
--> Avg: -0.8548895412844039
--> Std: 0.26022078706212554
-> Algorithm: 5
--> Max: (0.15498, ('brisbane', 0))
--> Avg: 0.04382330275229359
--> Std: 0.04555587602980188
-> Algorithm: 15
--> Max: (0.15498, ('brisbane', 0))
--> Avg: 0.04382330275229359
--> Std: 0.04555587602980188

Horizon = 8
-> Algorithm: 147
--> Max: (0.20181, ('torino', 1))
--> Avg: -0.8594242201834862
--> Std: 0.255739229012874
-> Algorithm: 140
--> Max: (0.17890000000000006, ('toronto', 0))
--> Avg: 0.04835798165137612
--> Std: 0.053577086067124864
-> Algorithm: 149
--> Max: (0.17782999999999993, ('brisbane', 0))
--> Avg: 0.04627706422018352
--> Std: 0.049773318847342006
-> Algorithm: 138
--> Max: (0.17755999999999994, ('brisbane', 0))
--> Avg: 0.04747266055045873
--> Std: 0.05178023161762071
-> Algorithm: 142
--> Max: (0.17720000000000002, ('toronto', 0))
--> Avg: 0.04844348623853211
--> Std: 0.053407889786409916
-> Algorithm: 146
--> Max: (0.17296, ('brisbane', 0))
--> Avg: 0.047877431192660545
--> Std: 0.052450308377507984

Horizon = 9
-> Algorithm: 148
--> Max: (0.20283, ('torino', 1))
--> Avg: -0.8600898165137615
--> Std: 0.25544190804035927
-> Algorithm: 145
--> Max: (0.18967999999999996, ('brisbane', 0))
--> Avg: 0.048824403669724806
--> Std: 0.05418160510985242
-> Algorithm: 141
--> Max: (0.18677, ('brisbane', 0))
--> Avg: 0.04902357798165137
--> Std: 0.05450769667913602
-> Algorithm: 139
--> Max: (0.18538, ('brisbane', 0))
--> Avg: 0.049009816513761455
--> Std: 0.054466739867719945
-> Algorithm: 150
--> Max: (0.18538, ('brisbane', 0))
--> Avg: 0.049009816513761455
--> Std: 0.054466739867719945



