------ Experiment.bell_state_reach ------
%%%%%%%%%%%% bellman %%%%%%%%%%%%
count hardware (bellman):  45
count embeddings (bellman):  136
total diff. algorithms (bellman):  9
accuracy perfect hardware (bellman): 0.6, 1.0, 1.0

num. algorithms per horizon (method=bellman)
1 :  1
2 :  3
3 :  5
--


number of improvements per horizon:
--> horizon 1: 0 
--> horizon 2: 7 
--> horizon 3: 135 


Improvements with respect to perfect algorithms per horizon
Horizon = 3
hardware=lagos-0, diff=0.11292, prob=0.5967, baseline_prob=0.48378, algorithm=13, method=bellman, horizon=3,
hardware=lagos-1, diff=0.00653, prob=0.98115, baseline_prob=0.97462, algorithm=4, method=bellman, horizon=3,
hardware=london-0, diff=0.00652, prob=0.98108, baseline_prob=0.97456, algorithm=4, method=bellman, horizon=3,
hardware=lima-1, diff=0.00644, prob=0.97322, baseline_prob=0.96678, algorithm=4, method=bellman, horizon=3,
hardware=jakarta-0, diff=0.00627, prob=0.98314, baseline_prob=0.97687, algorithm=4, method=bellman, horizon=3,
hardware=jakarta-1, diff=0.00624, prob=0.97832, baseline_prob=0.97208, algorithm=4, method=bellman, horizon=3,
hardware=ourense-1, diff=0.00595, prob=0.98162, baseline_prob=0.97567, algorithm=4, method=bellman, horizon=3,
hardware=almaden-0, diff=0.00587, prob=0.98067, baseline_prob=0.9748, algorithm=4, method=bellman, horizon=3,
hardware=vigo-1, diff=0.00571, prob=0.98036, baseline_prob=0.97465, algorithm=4, method=bellman, horizon=3,
hardware=almaden-2, diff=0.00562, prob=0.93869, baseline_prob=0.93307, algorithm=4, method=bellman, horizon=3,
hardware=manila-1, diff=0.00562, prob=0.97925, baseline_prob=0.97363, algorithm=4, method=bellman, horizon=3,
hardware=geneva-1, diff=0.00543, prob=0.98652, baseline_prob=0.98109, algorithm=4, method=bellman, horizon=3,
hardware=boeblingen-0, diff=0.00519, prob=0.98538, baseline_prob=0.98019, algorithm=4, method=bellman, horizon=3,
hardware=boeblingen-2, diff=0.00512, prob=0.97113, baseline_prob=0.96601, algorithm=4, method=bellman, horizon=3,
hardware=mumbai-0, diff=0.00512, prob=0.98649, baseline_prob=0.98137, algorithm=4, method=bellman, horizon=3,
hardware=mumbai-2, diff=0.00501, prob=0.967, baseline_prob=0.96199, algorithm=4, method=bellman, horizon=3,
hardware=brooklyn-0, diff=0.00492, prob=0.98576, baseline_prob=0.98084, algorithm=4, method=bellman, horizon=3,
hardware=brooklyn-2, diff=0.00476, prob=0.95588, baseline_prob=0.95112, algorithm=4, method=bellman, horizon=3,
hardware=guadalupe-1, diff=0.00418, prob=0.98703, baseline_prob=0.98285, algorithm=4, method=bellman, horizon=3,
hardware=guadalupe-3, diff=0.00414, prob=0.97835, baseline_prob=0.97421, algorithm=4, method=bellman, horizon=3,
hardware=athens-0, diff=0.00398, prob=0.98664, baseline_prob=0.98266, algorithm=4, method=bellman, horizon=3,
hardware=athens-1, diff=0.00393, prob=0.97509, baseline_prob=0.97116, algorithm=4, method=bellman, horizon=3,
hardware=rochester-0, diff=0.00391, prob=0.97933, baseline_prob=0.97542, algorithm=4, method=bellman, horizon=3,
hardware=santiago-1, diff=0.00379, prob=0.98775, baseline_prob=0.98396, algorithm=4, method=bellman, horizon=3,
hardware=sydney-0, diff=0.00367, prob=0.98885, baseline_prob=0.98518, algorithm=4, method=bellman, horizon=3,
hardware=sydney-2, diff=0.00331, prob=0.89192, baseline_prob=0.88861, algorithm=4, method=bellman, horizon=3,
hardware=toronto-1, diff=0.00308, prob=0.98996, baseline_prob=0.98688, algorithm=4, method=bellman, horizon=3,
hardware=oslo-0, diff=0.00305, prob=0.98942, baseline_prob=0.98637, algorithm=4, method=bellman, horizon=3,
hardware=oslo-2, diff=0.00304, prob=0.98754, baseline_prob=0.9845, algorithm=4, method=bellman, horizon=3,
hardware=toronto-3, diff=0.00283, prob=0.90897, baseline_prob=0.90614, algorithm=4, method=bellman, horizon=3,
hardware=montreal-0, diff=0.00281, prob=0.99061, baseline_prob=0.9878, algorithm=4, method=bellman, horizon=3,
hardware=montreal-2, diff=0.00277, prob=0.97584, baseline_prob=0.97307, algorithm=4, method=bellman, horizon=3,
hardware=paris-1, diff=0.00272, prob=0.98943, baseline_prob=0.98671, algorithm=4, method=bellman, horizon=3,
hardware=paris-3, diff=0.00262, prob=0.95122, baseline_prob=0.9486, algorithm=4, method=bellman, horizon=3,
hardware=manhattan-1, diff=0.00249, prob=0.99001, baseline_prob=0.98752, algorithm=4, method=bellman, horizon=3,
hardware=auckland-0, diff=0.00218, prob=0.99217, baseline_prob=0.98999, algorithm=4, method=bellman, horizon=3,
hardware=hanoi-0, diff=0.00218, prob=0.99308, baseline_prob=0.9909, algorithm=4, method=bellman, horizon=3,
hardware=auckland-2, diff=0.00215, prob=0.98009, baseline_prob=0.97794, algorithm=4, method=bellman, horizon=3,
hardware=cairo-0, diff=0.00202, prob=0.99305, baseline_prob=0.99103, algorithm=4, method=bellman, horizon=3,
hardware=cairo-2, diff=0.00198, prob=0.97512, baseline_prob=0.97314, algorithm=4, method=bellman, horizon=3,
hardware=kolkata-1, diff=0.00194, prob=0.99275, baseline_prob=0.99081, algorithm=4, method=bellman, horizon=3,
hardware=algiers-0, diff=0.0019, prob=0.99315, baseline_prob=0.99125, algorithm=4, method=bellman, horizon=3,
hardware=kolkata-2, diff=0.00187, prob=0.95438, baseline_prob=0.95251, algorithm=4, method=bellman, horizon=3,
hardware=washington-1, diff=0.00111, prob=0.99427, baseline_prob=0.99316, algorithm=4, method=bellman, horizon=3,

Horizon = 2
hardware=lagos-0, diff=0.06345, prob=0.5967, baseline_prob=0.53325, algorithm=12, method=bellman, horizon=2,
hardware=lagos-2, diff=0.06257, prob=0.58841, baseline_prob=0.52584, algorithm=12, method=bellman, horizon=2,
hardware=manhattan-2, diff=0.02173, prob=0.3, baseline_prob=0.27827, algorithm=9, method=bellman, horizon=2,
hardware=rochester-3, diff=0.02117, prob=0.3, baseline_prob=0.27883, algorithm=9, method=bellman, horizon=2,
hardware=cambridge-3, diff=0.01533, prob=0.3, baseline_prob=0.28467, algorithm=9, method=bellman, horizon=2,
hardware=manhattan-0, diff=0.00368, prob=0.59702, baseline_prob=0.59334, algorithm=12, method=bellman, horizon=2,
hardware=rochester-1, diff=0.00247, prob=0.59235, baseline_prob=0.58988, algorithm=12, method=bellman, horizon=2,



