------ Experiment.basic_zero_plus_discr ------
%%%%%%%%%%%% convex %%%%%%%%%%%%
count hardware (convex):  55
count embeddings (convex):  109
total diff. algorithms (convex):  283
accuracy perfect hardware (convex): 0.66667, 0.66667, 0.75

num. algorithms per horizon (method=convex)
1 :  89
2 :  103
3 :  91
--


number of improvements per horizon:
--> horizon 1: 108 
--> horizon 2: 108 
--> horizon 3: 108 


Improvements with respect to perfect algorithms per horizon
Horizon = 1
hardware=torino-1, diff=0.21012, prob=0.5, baseline_prob=0.28988, algorithm=76, method=convex, horizon=1,
hardware=bogota-1, diff=0.02467, prob=0.6536, baseline_prob=0.62893, algorithm=39, method=convex, horizon=1,
hardware=essex-1, diff=0.02432, prob=0.65379, baseline_prob=0.62947, algorithm=82, method=convex, horizon=1,
hardware=jakarta-1, diff=0.02419, prob=0.65386, baseline_prob=0.62967, algorithm=3, method=convex, horizon=1,
hardware=algiers-1, diff=0.02415, prob=0.65388, baseline_prob=0.62973, algorithm=3, method=convex, horizon=1,
hardware=ourense-1, diff=0.0238, prob=0.65407, baseline_prob=0.63027, algorithm=202, method=convex, horizon=1,
hardware=valencia-1, diff=0.02364, prob=0.65417, baseline_prob=0.63053, algorithm=262, method=convex, horizon=1,
hardware=burlington-1, diff=0.0212, prob=0.65553, baseline_prob=0.63433, algorithm=53, method=convex, horizon=1,
hardware=kolkata-0, diff=0.02025, prob=0.65605, baseline_prob=0.6358, algorithm=123, method=convex, horizon=1,
hardware=perth-0, diff=0.01888, prob=0.65681, baseline_prob=0.63793, algorithm=209, method=convex, horizon=1,
hardware=belem-0, diff=0.01814, prob=0.65721, baseline_prob=0.63907, algorithm=24, method=convex, horizon=1,
hardware=casablanca-1, diff=0.01433, prob=0.65926, baseline_prob=0.64493, algorithm=70, method=convex, horizon=1,
hardware=essex-0, diff=0.0135, prob=0.6597, baseline_prob=0.6462, algorithm=79, method=convex, horizon=1,
hardware=rome-0, diff=0.01329, prob=0.65982, baseline_prob=0.64653, algorithm=233, method=convex, horizon=1,
hardware=oslo-1, diff=0.01293, prob=0.66, baseline_prob=0.64707, algorithm=198, method=convex, horizon=1,
hardware=yorktown-0, diff=0.0122, prob=0.6604, baseline_prob=0.6482, algorithm=274, method=convex, horizon=1,
hardware=bogota-0, diff=0.01193, prob=0.66053, baseline_prob=0.6486, algorithm=36, method=convex, horizon=1,
hardware=melbourne-0, diff=0.01167, prob=0.66067, baseline_prob=0.649, algorithm=159, method=convex, horizon=1,
hardware=burlington-0, diff=0.0108, prob=0.66113, baseline_prob=0.65033, algorithm=15, method=convex, horizon=1,
hardware=athens-1, diff=0.01071, prob=0.66118, baseline_prob=0.65047, algorithm=15, method=convex, horizon=1,
hardware=valencia-0, diff=0.01031, prob=0.66138, baseline_prob=0.65107, algorithm=259, method=convex, horizon=1,
hardware=quito-0, diff=0.00971, prob=0.66171, baseline_prob=0.652, algorithm=224, method=convex, horizon=1,
hardware=rome-1, diff=0.00944, prob=0.66184, baseline_prob=0.6524, algorithm=236, method=convex, horizon=1,
hardware=poughkeepsie-1, diff=0.00926, prob=0.66193, baseline_prob=0.65267, algorithm=218, method=convex, horizon=1,
hardware=belem-1, diff=0.0091, prob=0.66203, baseline_prob=0.65293, algorithm=27, method=convex, horizon=1,
hardware=perth-1, diff=0.00861, prob=0.66228, baseline_prob=0.65367, algorithm=212, method=convex, horizon=1,
hardware=auckland-1, diff=0.00847, prob=0.66234, baseline_prob=0.65387, algorithm=21, method=convex, horizon=1,
hardware=nairobi-1, diff=0.00808, prob=0.66255, baseline_prob=0.65447, algorithm=188, method=convex, horizon=1,
hardware=santiago-0, diff=0.00795, prob=0.66262, baseline_prob=0.65467, algorithm=238, method=convex, horizon=1,
hardware=johannesburg-0, diff=0.00773, prob=0.66273, baseline_prob=0.655, algorithm=111, method=convex, horizon=1,
hardware=cambridge-0, diff=0.00752, prob=0.66285, baseline_prob=0.65533, algorithm=62, method=convex, horizon=1,
hardware=singapore-1, diff=0.00752, prob=0.66285, baseline_prob=0.65533, algorithm=62, method=convex, horizon=1,
hardware=lagos-1, diff=0.00738, prob=0.66291, baseline_prob=0.65553, algorithm=142, method=convex, horizon=1,
hardware=london-1, diff=0.00736, prob=0.66292, baseline_prob=0.65556, algorithm=142, method=convex, horizon=1,
hardware=lima-0, diff=0.00734, prob=0.66294, baseline_prob=0.6556, algorithm=142, method=convex, horizon=1,
hardware=jakarta-0, diff=0.00707, prob=0.66307, baseline_prob=0.656, algorithm=106, method=convex, horizon=1,
hardware=ourense-0, diff=0.00672, prob=0.66325, baseline_prob=0.65653, algorithm=6, method=convex, horizon=1,
hardware=almaden-0, diff=0.00663, prob=0.6633, baseline_prob=0.65667, algorithm=6, method=convex, horizon=1,
hardware=vigo-1, diff=0.00646, prob=0.66339, baseline_prob=0.65693, algorithm=68, method=convex, horizon=1,
hardware=casablanca-0, diff=0.00637, prob=0.66344, baseline_prob=0.65707, algorithm=68, method=convex, horizon=1,
hardware=manila-1, diff=0.00637, prob=0.66344, baseline_prob=0.65707, algorithm=68, method=convex, horizon=1,
hardware=geneva-1, diff=0.0061, prob=0.66357, baseline_prob=0.65747, algorithm=94, method=convex, horizon=1,
hardware=boeblingen-0, diff=0.00584, prob=0.66371, baseline_prob=0.65787, algorithm=30, method=convex, horizon=1,
hardware=mumbai-0, diff=0.00575, prob=0.66375, baseline_prob=0.658, algorithm=30, method=convex, horizon=1,
hardware=brooklyn-0, diff=0.00554, prob=0.66387, baseline_prob=0.65833, algorithm=46, method=convex, horizon=1,
hardware=guadalupe-1, diff=0.00469, prob=0.66429, baseline_prob=0.6596, algorithm=100, method=convex, horizon=1,
hardware=athens-0, diff=0.00448, prob=0.66441, baseline_prob=0.65993, algorithm=12, method=convex, horizon=1,
hardware=rochester-0, diff=0.00443, prob=0.66443, baseline_prob=0.66, algorithm=12, method=convex, horizon=1,
hardware=santiago-1, diff=0.00425, prob=0.66452, baseline_prob=0.66027, algorithm=241, method=convex, horizon=1,
hardware=sydney-0, diff=0.00412, prob=0.66459, baseline_prob=0.66047, algorithm=247, method=convex, horizon=1,
hardware=toronto-1, diff=0.00345, prob=0.66492, baseline_prob=0.66147, algorithm=195, method=convex, horizon=1,
hardware=oslo-0, diff=0.00342, prob=0.66495, baseline_prob=0.66153, algorithm=195, method=convex, horizon=1,
hardware=cusco-0, diff=0.00325, prob=0.66503, baseline_prob=0.66178, algorithm=73, method=convex, horizon=1,
hardware=prague-1, diff=0.00324, prob=0.66504, baseline_prob=0.6618, algorithm=73, method=convex, horizon=1,
hardware=montreal-0, diff=0.00315, prob=0.66508, baseline_prob=0.66193, algorithm=174, method=convex, horizon=1,
hardware=paris-1, diff=0.00306, prob=0.66513, baseline_prob=0.66207, algorithm=174, method=convex, horizon=1,
hardware=manhattan-1, diff=0.00279, prob=0.66526, baseline_prob=0.66247, algorithm=168, method=convex, horizon=1,
hardware=brisbane-1, diff=0.00249, prob=0.66541, baseline_prob=0.66292, algorithm=18, method=convex, horizon=1,
hardware=auckland-0, diff=0.00244, prob=0.66544, baseline_prob=0.663, algorithm=18, method=convex, horizon=1,
hardware=hanoi-0, diff=0.00244, prob=0.66544, baseline_prob=0.663, algorithm=18, method=convex, horizon=1,
hardware=torino-0, diff=0.00227, prob=0.66552, baseline_prob=0.66325, algorithm=56, method=convex, horizon=1,
hardware=cairo-0, diff=0.00226, prob=0.66553, baseline_prob=0.66327, algorithm=56, method=convex, horizon=1,
hardware=kolkata-1, diff=0.00217, prob=0.66557, baseline_prob=0.6634, algorithm=0, method=convex, horizon=1,
hardware=algiers-0, diff=0.00213, prob=0.6656, baseline_prob=0.66347, algorithm=0, method=convex, horizon=1,
hardware=kyoto-0, diff=0.00191, prob=0.66571, baseline_prob=0.6638, algorithm=133, method=convex, horizon=1,
hardware=osaka-1, diff=0.00159, prob=0.66586, baseline_prob=0.66427, algorithm=117, method=convex, horizon=1,
hardware=kawasaki-0, diff=0.00152, prob=0.66591, baseline_prob=0.66439, algorithm=117, method=convex, horizon=1,
hardware=washington-1, diff=0.00124, prob=0.66604, baseline_prob=0.6648, algorithm=153, method=convex, horizon=1,
hardware=makarresh-0, diff=0.00119, prob=0.66607, baseline_prob=0.66488, algorithm=153, method=convex, horizon=1,
hardware=kyiv-0, diff=0.00076, prob=0.66629, baseline_prob=0.66553, algorithm=127, method=convex, horizon=1,
hardware=fez-0, diff=0.00065, prob=0.66634, baseline_prob=0.66569, algorithm=85, method=convex, horizon=1,

Horizon = 2
hardware=torino-1, diff=0.24214, prob=0.53202, baseline_prob=0.28988, algorithm=253, method=convex, horizon=2,
hardware=cusco-1, diff=0.16895, prob=0.50098, baseline_prob=0.33203, algorithm=77, method=convex, horizon=2,
hardware=kyiv-1, diff=0.16614, prob=0.50159, baseline_prob=0.33545, algorithm=131, method=convex, horizon=2,
hardware=makarresh-1, diff=0.16231, prob=0.51306, baseline_prob=0.35075, algorithm=157, method=convex, horizon=2,
hardware=lagos-0, diff=0.16063, prob=0.5181, baseline_prob=0.35747, algorithm=140, method=convex, horizon=2,
hardware=osaka-0, diff=0.15645, prob=0.53065, baseline_prob=0.3742, algorithm=192, method=convex, horizon=2,
hardware=kyoto-1, diff=0.15342, prob=0.53975, baseline_prob=0.38633, algorithm=137, method=convex, horizon=2,
hardware=manhattan-0, diff=0.15062, prob=0.54815, baseline_prob=0.39753, algorithm=166, method=convex, horizon=2,
hardware=rochester-1, diff=0.15042, prob=0.54875, baseline_prob=0.39833, algorithm=231, method=convex, horizon=2,
hardware=cambridge-1, diff=0.14833, prob=0.555, baseline_prob=0.40667, algorithm=66, method=convex, horizon=2,
hardware=kawasaki-1, diff=0.1379, prob=0.5863, baseline_prob=0.4484, algorithm=121, method=convex, horizon=2,
hardware=washington-0, diff=0.13713, prob=0.5886, baseline_prob=0.45147, algorithm=270, method=convex, horizon=2,
hardware=yorktown-1, diff=0.13205, prob=0.60385, baseline_prob=0.4718, algorithm=278, method=convex, horizon=2,
hardware=toronto-0, diff=0.12908, prob=0.61275, baseline_prob=0.48367, algorithm=256, method=convex, horizon=2,
hardware=brisbane-0, diff=0.12325, prob=0.63025, baseline_prob=0.507, algorithm=43, method=convex, horizon=2,
hardware=almaden-1, diff=0.12111, prob=0.63667, baseline_prob=0.51556, algorithm=10, method=convex, horizon=2,
hardware=paris-0, diff=0.11852, prob=0.64445, baseline_prob=0.52593, algorithm=206, method=convex, horizon=2,
hardware=boeblingen-1, diff=0.11545, prob=0.65365, baseline_prob=0.5382, algorithm=34, method=convex, horizon=2,
hardware=melbourne-1, diff=0.1129, prob=0.65517, baseline_prob=0.54227, algorithm=163, method=convex, horizon=2,
hardware=poughkeepsie-0, diff=0.10575, prob=0.65708, baseline_prob=0.55133, algorithm=216, method=convex, horizon=2,
hardware=johannesburg-1, diff=0.10559, prob=0.65712, baseline_prob=0.55153, algorithm=115, method=convex, horizon=2,
hardware=london-0, diff=0.10143, prob=0.6581, baseline_prob=0.55667, algorithm=151, method=convex, horizon=2,
hardware=cairo-1, diff=0.0927, prob=0.6599, baseline_prob=0.5672, algorithm=60, method=convex, horizon=2,
hardware=geneva-0, diff=0.08829, prob=0.66069, baseline_prob=0.5724, algorithm=92, method=convex, horizon=2,
hardware=sydney-1, diff=0.07495, prob=0.66268, baseline_prob=0.58773, algorithm=251, method=convex, horizon=2,
hardware=quito-1, diff=0.07061, prob=0.66321, baseline_prob=0.5926, algorithm=227, method=convex, horizon=2,
hardware=fez-1, diff=0.06753, prob=0.66356, baseline_prob=0.59603, algorithm=89, method=convex, horizon=2,
hardware=prague-0, diff=0.06569, prob=0.66376, baseline_prob=0.59807, algorithm=222, method=convex, horizon=2,
hardware=mumbai-1, diff=0.06466, prob=0.66386, baseline_prob=0.5992, algorithm=183, method=convex, horizon=2,
hardware=montreal-1, diff=0.06193, prob=0.66413, baseline_prob=0.6022, algorithm=178, method=convex, horizon=2,
hardware=manila-0, diff=0.06175, prob=0.66415, baseline_prob=0.6024, algorithm=172, method=convex, horizon=2,
hardware=singapore-0, diff=0.0566, prob=0.6646, baseline_prob=0.608, algorithm=245, method=convex, horizon=2,
hardware=brooklyn-1, diff=0.05587, prob=0.66467, baseline_prob=0.6088, algorithm=50, method=convex, horizon=2,
hardware=hanoi-1, diff=0.05432, prob=0.66479, baseline_prob=0.61047, algorithm=104, method=convex, horizon=2,
hardware=vigo-0, diff=0.0486, prob=0.6652, baseline_prob=0.6166, algorithm=265, method=convex, horizon=2,
hardware=guadalupe-0, diff=0.03942, prob=0.66575, baseline_prob=0.62633, algorithm=98, method=convex, horizon=2,
hardware=nairobi-0, diff=0.03783, prob=0.66583, baseline_prob=0.628, algorithm=186, method=convex, horizon=2,
hardware=lima-1, diff=0.03751, prob=0.66584, baseline_prob=0.62833, algorithm=148, method=convex, horizon=2,
hardware=bogota-1, diff=0.03694, prob=0.66587, baseline_prob=0.62893, algorithm=40, method=convex, horizon=2,
hardware=essex-1, diff=0.03642, prob=0.66589, baseline_prob=0.62947, algorithm=83, method=convex, horizon=2,
hardware=jakarta-1, diff=0.03623, prob=0.6659, baseline_prob=0.62967, algorithm=109, method=convex, horizon=2,
hardware=algiers-1, diff=0.03617, prob=0.6659, baseline_prob=0.62973, algorithm=4, method=convex, horizon=2,
hardware=ourense-1, diff=0.03566, prob=0.66593, baseline_prob=0.63027, algorithm=203, method=convex, horizon=2,
hardware=valencia-1, diff=0.03541, prob=0.66594, baseline_prob=0.63053, algorithm=263, method=convex, horizon=2,
hardware=burlington-1, diff=0.03176, prob=0.66609, baseline_prob=0.63433, algorithm=54, method=convex, horizon=2,
hardware=kolkata-0, diff=0.03034, prob=0.66614, baseline_prob=0.6358, algorithm=124, method=convex, horizon=2,
hardware=perth-0, diff=0.02829, prob=0.66622, baseline_prob=0.63793, algorithm=210, method=convex, horizon=2,
hardware=belem-0, diff=0.02718, prob=0.66625, baseline_prob=0.63907, algorithm=25, method=convex, horizon=2,
hardware=casablanca-1, diff=0.02148, prob=0.66641, baseline_prob=0.64493, algorithm=71, method=convex, horizon=2,
hardware=essex-0, diff=0.02024, prob=0.66644, baseline_prob=0.6462, algorithm=80, method=convex, horizon=2,
hardware=rome-0, diff=0.01992, prob=0.66645, baseline_prob=0.64653, algorithm=234, method=convex, horizon=2,
hardware=oslo-1, diff=0.01939, prob=0.66646, baseline_prob=0.64707, algorithm=199, method=convex, horizon=2,
hardware=yorktown-0, diff=0.01829, prob=0.66649, baseline_prob=0.6482, algorithm=275, method=convex, horizon=2,
hardware=bogota-0, diff=0.01789, prob=0.66649, baseline_prob=0.6486, algorithm=37, method=convex, horizon=2,
hardware=melbourne-0, diff=0.0175, prob=0.6665, baseline_prob=0.649, algorithm=160, method=convex, horizon=2,
hardware=burlington-0, diff=0.0162, prob=0.66653, baseline_prob=0.65033, algorithm=52, method=convex, horizon=2,
hardware=athens-1, diff=0.01606, prob=0.66653, baseline_prob=0.65047, algorithm=16, method=convex, horizon=2,
hardware=valencia-0, diff=0.01547, prob=0.66654, baseline_prob=0.65107, algorithm=260, method=convex, horizon=2,
hardware=quito-0, diff=0.01455, prob=0.66655, baseline_prob=0.652, algorithm=225, method=convex, horizon=2,
hardware=rome-1, diff=0.01416, prob=0.66656, baseline_prob=0.6524, algorithm=237, method=convex, horizon=2,
hardware=poughkeepsie-1, diff=0.01389, prob=0.66656, baseline_prob=0.65267, algorithm=219, method=convex, horizon=2,
hardware=belem-1, diff=0.01364, prob=0.66657, baseline_prob=0.65293, algorithm=28, method=convex, horizon=2,
hardware=perth-1, diff=0.01291, prob=0.66658, baseline_prob=0.65367, algorithm=213, method=convex, horizon=2,
hardware=auckland-1, diff=0.01271, prob=0.66658, baseline_prob=0.65387, algorithm=22, method=convex, horizon=2,
hardware=nairobi-1, diff=0.01212, prob=0.66659, baseline_prob=0.65447, algorithm=189, method=convex, horizon=2,
hardware=santiago-0, diff=0.01192, prob=0.66659, baseline_prob=0.65467, algorithm=239, method=convex, horizon=2,
hardware=johannesburg-0, diff=0.0116, prob=0.6666, baseline_prob=0.655, algorithm=112, method=convex, horizon=2,
hardware=cambridge-0, diff=0.01127, prob=0.6666, baseline_prob=0.65533, algorithm=63, method=convex, horizon=2,
hardware=singapore-1, diff=0.01127, prob=0.6666, baseline_prob=0.65533, algorithm=63, method=convex, horizon=2,
hardware=lagos-1, diff=0.01107, prob=0.6666, baseline_prob=0.65553, algorithm=143, method=convex, horizon=2,
hardware=london-1, diff=0.01104, prob=0.6666, baseline_prob=0.65556, algorithm=143, method=convex, horizon=2,
hardware=lima-0, diff=0.011, prob=0.6666, baseline_prob=0.6556, algorithm=145, method=convex, horizon=2,
hardware=jakarta-0, diff=0.01061, prob=0.66661, baseline_prob=0.656, algorithm=107, method=convex, horizon=2,
hardware=ourense-0, diff=0.01008, prob=0.66661, baseline_prob=0.65653, algorithm=201, method=convex, horizon=2,
hardware=almaden-0, diff=0.00995, prob=0.66662, baseline_prob=0.65667, algorithm=7, method=convex, horizon=2,
hardware=vigo-1, diff=0.00969, prob=0.66662, baseline_prob=0.65693, algorithm=267, method=convex, horizon=2,
hardware=casablanca-0, diff=0.00955, prob=0.66662, baseline_prob=0.65707, algorithm=69, method=convex, horizon=2,
hardware=manila-1, diff=0.00955, prob=0.66662, baseline_prob=0.65707, algorithm=69, method=convex, horizon=2,
hardware=geneva-1, diff=0.00915, prob=0.66662, baseline_prob=0.65747, algorithm=95, method=convex, horizon=2,
hardware=boeblingen-0, diff=0.00876, prob=0.66663, baseline_prob=0.65787, algorithm=31, method=convex, horizon=2,
hardware=mumbai-0, diff=0.00863, prob=0.66663, baseline_prob=0.658, algorithm=180, method=convex, horizon=2,
hardware=brooklyn-0, diff=0.0083, prob=0.66663, baseline_prob=0.65833, algorithm=47, method=convex, horizon=2,
hardware=guadalupe-1, diff=0.00704, prob=0.66664, baseline_prob=0.6596, algorithm=101, method=convex, horizon=2,
hardware=athens-0, diff=0.00671, prob=0.66664, baseline_prob=0.65993, algorithm=13, method=convex, horizon=2,
hardware=rochester-0, diff=0.00664, prob=0.66664, baseline_prob=0.66, algorithm=229, method=convex, horizon=2,
hardware=santiago-1, diff=0.00638, prob=0.66665, baseline_prob=0.66027, algorithm=242, method=convex, horizon=2,
hardware=sydney-0, diff=0.00618, prob=0.66665, baseline_prob=0.66047, algorithm=248, method=convex, horizon=2,
hardware=toronto-1, diff=0.00518, prob=0.66665, baseline_prob=0.66147, algorithm=258, method=convex, horizon=2,
hardware=oslo-0, diff=0.00512, prob=0.66665, baseline_prob=0.66153, algorithm=196, method=convex, horizon=2,
hardware=cusco-0, diff=0.00487, prob=0.66665, baseline_prob=0.66178, algorithm=74, method=convex, horizon=2,
hardware=prague-1, diff=0.00485, prob=0.66665, baseline_prob=0.6618, algorithm=74, method=convex, horizon=2,
hardware=montreal-0, diff=0.00473, prob=0.66666, baseline_prob=0.66193, algorithm=175, method=convex, horizon=2,
hardware=paris-1, diff=0.00459, prob=0.66666, baseline_prob=0.66207, algorithm=208, method=convex, horizon=2,
hardware=manhattan-1, diff=0.00419, prob=0.66666, baseline_prob=0.66247, algorithm=169, method=convex, horizon=2,
hardware=brisbane-1, diff=0.00374, prob=0.66666, baseline_prob=0.66292, algorithm=45, method=convex, horizon=2,
hardware=auckland-0, diff=0.00366, prob=0.66666, baseline_prob=0.663, algorithm=19, method=convex, horizon=2,
hardware=hanoi-0, diff=0.00366, prob=0.66666, baseline_prob=0.663, algorithm=19, method=convex, horizon=2,
hardware=torino-0, diff=0.00341, prob=0.66666, baseline_prob=0.66325, algorithm=57, method=convex, horizon=2,
hardware=cairo-0, diff=0.00339, prob=0.66666, baseline_prob=0.66327, algorithm=57, method=convex, horizon=2,
hardware=kolkata-1, diff=0.00326, prob=0.66666, baseline_prob=0.6634, algorithm=126, method=convex, horizon=2,
hardware=algiers-0, diff=0.00319, prob=0.66666, baseline_prob=0.66347, algorithm=1, method=convex, horizon=2,
hardware=kyoto-0, diff=0.00286, prob=0.66666, baseline_prob=0.6638, algorithm=134, method=convex, horizon=2,
hardware=osaka-1, diff=0.00239, prob=0.66666, baseline_prob=0.66427, algorithm=194, method=convex, horizon=2,
hardware=kawasaki-0, diff=0.00227, prob=0.66666, baseline_prob=0.66439, algorithm=118, method=convex, horizon=2,
hardware=washington-1, diff=0.00186, prob=0.66666, baseline_prob=0.6648, algorithm=272, method=convex, horizon=2,
hardware=makarresh-0, diff=0.00179, prob=0.66667, baseline_prob=0.66488, algorithm=154, method=convex, horizon=2,
hardware=kyiv-0, diff=0.00114, prob=0.66667, baseline_prob=0.66553, algorithm=128, method=convex, horizon=2,
hardware=fez-0, diff=0.00098, prob=0.66667, baseline_prob=0.66569, algorithm=86, method=convex, horizon=2,

Horizon = 3
hardware=torino-1, diff=0.18693, prob=0.53259, baseline_prob=0.34566, algorithm=254, method=convex, horizon=3,
hardware=brisbane-0, diff=0.1385, prob=0.64097, baseline_prob=0.50247, algorithm=44, method=convex, horizon=3,
hardware=osaka-0, diff=0.1384, prob=0.5431, baseline_prob=0.4047, algorithm=193, method=convex, horizon=3,
hardware=rochester-1, diff=0.13759, prob=0.56578, baseline_prob=0.42819, algorithm=232, method=convex, horizon=3,
hardware=manhattan-0, diff=0.13736, prob=0.56507, baseline_prob=0.42771, algorithm=167, method=convex, horizon=3,
hardware=cambridge-1, diff=0.13723, prob=0.57313, baseline_prob=0.4359, algorithm=67, method=convex, horizon=3,
hardware=kyoto-1, diff=0.13691, prob=0.55477, baseline_prob=0.41786, algorithm=138, method=convex, horizon=3,
hardware=lagos-0, diff=0.13242, prob=0.52616, baseline_prob=0.39374, algorithm=141, method=convex, horizon=3,
hardware=makarresh-1, diff=0.131, prob=0.51908, baseline_prob=0.38808, algorithm=158, method=convex, horizon=3,
hardware=kawasaki-1, diff=0.12985, prob=0.60601, baseline_prob=0.47616, algorithm=122, method=convex, horizon=3,
hardware=washington-0, diff=0.12895, prob=0.60817, baseline_prob=0.47922, algorithm=271, method=convex, horizon=3,
hardware=cusco-1, diff=0.12695, prob=0.50098, baseline_prob=0.37403, algorithm=78, method=convex, horizon=3,
hardware=kyiv-1, diff=0.12578, prob=0.50237, baseline_prob=0.37659, algorithm=132, method=convex, horizon=3,
hardware=yorktown-1, diff=0.12182, prob=0.62157, baseline_prob=0.49975, algorithm=279, method=convex, horizon=3,
hardware=toronto-0, diff=0.11838, prob=0.6313, baseline_prob=0.51292, algorithm=257, method=convex, horizon=3,
hardware=almaden-1, diff=0.10825, prob=0.6566, baseline_prob=0.54835, algorithm=11, method=convex, horizon=3,
hardware=paris-0, diff=0.10393, prob=0.66499, baseline_prob=0.56106, algorithm=207, method=convex, horizon=3,
hardware=boeblingen-1, diff=0.09855, prob=0.67417, baseline_prob=0.57562, algorithm=35, method=convex, horizon=3,
hardware=melbourne-1, diff=0.09673, prob=0.67702, baseline_prob=0.58029, algorithm=164, method=convex, horizon=3,
